procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 7  0   7752 515728 584464 11043388    0    0     4    15    3    9  0  0 100  0
 2  0   7752 296728 584488 11044464    0    0   200    84 3244 4102 34  2 63  1
 0  0   7856 168756 584488 11005688    0   26   287    63 2581 3296 43  2 55  0
 0  0   7856 158856 584500 11006596    0    0   211   165 1631 2968  3  1 96  0
 1  0   7856 157584 584508 11006640    0    0     0    19 1338 2513  1  0 99  0
 0  0   7856 155600 584516 11006696    0    0     0   100 1371 2606  1  0 98  0
 1  0   8048 187516 584516 10968732    0   48     0   149 1409 2572  1  1 98  0
 0  0   8208 309888 584572 10932624    0   40   336   747 2507 3609 29  2 68  0
 0  0   8208 518788 584572 10935908    0    0   939    86 1471 2584  1  0 98  0
 0  0   8208 517896 584584 10936948    0    0   212   131 1134 2153  0  0 99  0
 0  0   8208 517912 584588 10936952    0    0     0   150 1170 2172  0  0 99  0
 0  0   8208 517828 584596 10937316    0    0    91    74 1167 2207  1  0 99  0
 0  0   8208 516400 584596 10938924    0    0   390    21 1108 2124  0  0 99  0
 0  0   8208 515788 584596 10938876    0    0     0    86 1122 2144  0  0 99  0
 0  0   8208 515852 584600 10938876    0    0     0    80 1110 2171  1  0 99  0
 0  0   8208 515876 584600 10938876    0    0     0    70 1101 2126  0  0 100  0
 0  0   8208 515908 584600 10938876    0    0     0    16 1093 2124  0  0 99  0
 0  0   8208 515876 584604 10938872    0    0     0    18 1110 2197  0  0 100  0
 0  0   8208 515876 584608 10938880    0    0     0    43 1103 2130  0  0 100  0
 0  0   8208 515884 584612 10938880    0    0     0    14 1116 2161  0  0 100  0
 0  0   8208 515388 584612 10938880    0    0     0    25 1173 2306  0  0 99  0
 0  0   8208 515388 584612 10938880    0    0     0    64 1176 2229  0  1 99  0
 0  0   8208 511924 584612 10938884    0    0     0    32 1204 2278  1  0 99  0
 0  0   8208 511576 584616 10938884    0    0     0   104 1137 2247  0  0 99  0
 0  0   8208 511640 584624 10938892    0    0     0    34 1110 2142  0  0 100  0
 0  0   8208 511400 584636 10938896    0    0     0   131 1151 2208  0  0 99  0
 0  0   8208 515448 584644 10938880    0    0     0    14 1147 2237  0  0 99  0
 0  0   8208 512864 584644 10938888    0    0     0    26 1221 2321  1  0 99  0
 0  0   8208 706768 584644 10938860    0    0     0    95 1431 2431  1  0 99  0
 0  0   8208 703160 584652 10938860    0    0     0   111 1147 2151  1  1 98  0
 0  0   8208 704644 584660 10938876    0    0     0    50  927 1789  0  0 99  0
 0  0   8208 949148 584660 10938868    0    0     0     4  911 1753  0  0 100  0
 0  0   8208 949116 584668 10938868    0    0     0    28  873 1715  0  0 100  0
 0  0   8208 949148 584668 10938868    0    0     0    35  876 1678  0  0 100  0
 3  0   8208 675116 584668 10938948    0    0     0    23 3009 3334 36  2 61  0
 2  0   8208 589696 584684 10939056    0    0    20   111 1939 2900 15  1 84  0
 1  0   8208 487704 584692 10939416    0    0     0    39 2968 3179 39  2 59  0
 1  0   8208 273624 584704 10940076    0    0     0   470 3713 4396 40  2 57  0
 8  0   8764 167860 584712 10828996    0  139     0   201 2501 4136 36  4 61  0
18  0  10540 185856 539128 10287196    0  444    51   544 2293 4295 92  8  0  0
13  0  11140 154804 480344 9570556    0  150    14   206 5002 25455 85 15  0  0
14  0  11140 174500 480292 9477112    0    0     0   335 5906 104959 87 13  0  0
12  0  11140 166252 480300 9477116    0    0     0    55 6385 118387 87 13  0  0
13  0  11176 178264 479100 9366028    0    9     0    40 6733 122766 85 15  0  0
 8  0  11176 175700 479108 9366040    0    0     1    65 6404 124733 86 14  0  0
11  0  11176 166716 479116 9366076   48    0    48    87 6199 120600 85 15  0  0
 2  0  11176 1105084 479128 9386284    0    0    67  2968 7380 96294 82 15  3  0
10  0  11176 1337844 479144 9390856    0    0     0    36 4690 8493 80  6 14  0
11  0  11176 479412 479156 9391360    0    0     0   114 2831 19385 94  6  0  0
 8  0  11176 368372 479172 9395860    0    0  1090    44 6418 99667 86 14  0  0
 9  0  11176 329704 479180 9398716    0    0   719    45 6773 118629 86 14  0  0
11  0  11176 260884 479188 9401200    0    0   622     8 6568 125523 85 15  0  0
 7  0  11176 252500 479188 9410480    0    0  2415    51 6750 126488 84 16  0  0
 2  0  11176 1384084 479196 9432180    0    0   418    42 6035 92055 81 13  7  0
 9  0  11176 1005624 479208 9432336    0    0     0   329 3255 10736 89  6  5  0
 6  0  11176 532216 479216 9447344  168    0  3796  3357 4662 88637 87 13  1  0
 4  0  11176 455740 479224 9488512    0    0 10321    37 24181 92556 72 16 12  0
 4  0  11176 386520 479224 9522704    0    0  8633    24 26422 95420 71 15 14  0
 3  0  11176 1095380 479232 9561596    0    0  6632    54 21867 55766 64 11 25  0
 6  0  11176 445092 479280 9561868    0    0    35   115 6419 25070 83  7 10  0
12  0  11176 382396 479288 9567008    0    0  1289    62 21315 87706 75 15 11  0
 3  0  11176 346228 479288 9567112    0    0    23  5047 25921 92581 70 16 14  0
 7  0  11176 664672 479312 9571340    0    0    16    47 27407 81999 68 13 19  0
 7  0  11176 662352 479340 9579116    0    0     0   210 4437 14775 79  6 15  0
 5  0  11176 354960 479352 9579316    0    0     0   114 19487 79320 75 14 10  0
 8  0  11176 303192 479360 9579316    0    0     0  1057 25516 94404 72 15 13  0
 4  0  11176 590612 479364 9583336    0    0     0  2031 26781 87649 69 14 17  0
 5  0  11176 764732 479404 9591124    0    0     0    98 10389 22545 67  7 27  0
 2  0  11176 444752 479440 9591476    0    0    12    96 17876 58518 76  9 15  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 5  0  11176 401968 479452 9591484    0    0     0    57 39260 81815 51 13 36  0
 6  0  11176 913500 479464 9651472    0    0     0  3093 21778 43992 53  8 39  0
 4  0  11176 669796 479464 9685696    0    0     0     3 4892 11188 98  2  0  0
 6  0  11176 854064 479476 9673044    0    0     0    96 4511 9344 89  2  9  0
 1  0  11176 1406084 479492 9598108    0    0     0   149 4010 7740 68  3 28  0
 0  0  11176 1744460 479504 9596928    0    0     0  1133 2097 4080 15  2 83  0
 0  0  11176 2068896 479508 9508920    0    0     0  2058 1118 2339  1  1 99  0
 0  0  11176 2068904 479520 9508892    0    0     0    44 1015 2090  0  0 99  0
 0  0  11176 2068872 479520 9508892    0    0     0    25 1003 2074  0  0 100  0
 0  0  11176 2068880 479536 9508896    0    0     0    47 1018 2206  0  0 99  0
